creator
"Yeung, JP; Kloda, LA; McDevitt, J; Ben‐Shoshan, M; Alizadehfar, R"
"Liu C,Eser A,Heintze S,Rothbrust F,Broeckmann C"
"van Dijken JW,Pallesen U,Benetti A"
"Sadeghyar A,Lettner S,Watts DC,Schedle A"
"Josic U,D'Alessandro C,Miletic V,Maravic T,Mazzitelli C,Jacimovic J,Sorrentino R,Zarone F,Mancuso E,Delgado AH,Breschi L,Mazzoni A"
"Sharma, M; Bennett, C; Cohen, SN; Carter, B"
"Wang R,Li Z,Tian Q,Ma Z,Zhu M"
"Sadeghyar A,Watts DC,Schedle A"
"Simila HO,Boccaccini AR"
"Heintze SD,Loguercio AD,Hanzen TA,Reis A,Rousson V"
"Sheikh, A; ten Broek, VM; Brown, SGA; Simons, FER"
"Normansell, R; Walker, S; Milan, SJ; Walters, EH; Nair, P"
"Taramarcaz, P; Gibson, PG"
"Calderon, MA; Penagos, M; Sheikh, A; Canonica, GW; Durham, S"
"Osiewicz MA,Werner A,Roeters FJ,Kleverlaan CJ"
"Romantsik, O; Tosca, MA; Zappettini, S; Calevo, MG"
"De Nys S,Duca RC,Vervliet P,Covaci A,Boonen I,Elskens M,Vanoirbeek J,Godderis L,Van Meerbeek B,Van Landuyt KL"
"Abramson, MJ; Puy, RM; Weiner, JM"
"Lempel E,Gyulai S,Lovsz BV,Jeges S,Szalma J"
"Zhou Z,Guo D,Watts DC,Fischer NG,Fu J"
"Del Fabbro, M; Corbella, S; Sequeira‐Byron, P; Tsesis, I; Rosen, E; Lolato, A; Taschieri, S"
"Sheikh, A; Shehata, YA; Brown, SGA; Simons, FER"
"Castillo, M; Scott, NW; Mustafa, MZ; Mustafa, MS; Azuara‐Blanco, A"
"Agnihotry, A; Fedorowicz, Z; Nasser, M"
"Tam, H; Calderon, MA; Manikam, L; Nankervis, H; García Núñez, I; Williams, HC; Durham, S; Boyle, RJ"
"Kilburn, SA; Lasserson, TJ; McKean, MC"
"Yengopal, V; Harnekar, SY; Patel, N; Siegfried, N"
"Shah PK,Stansbury JW"
"Ardern, K"
"Lima LC,Aldarvis J,Amaral FLB,Turssi CP,Basting RT,Lima AF,Frana FMG"
"Opdam NJ,VanBeek V,VanBeek W,Loomans BA,Pereira-Cenci T,Cenci MS,Laske M"
"Osborn, DA; Sinn, JKH"
"Maas, T; Kaper, J; Sheikh, A; Knottnerus, JA; Wesseling, G; Dompeling, E; Muris, JWM; van Schayck, CP"
"Li, H; Guo, Z; Li, C; Ma, X; Wang, Y; Zhou, X; Johnson, TM; Huang, D"
"Tan‐Dy, CRY; Ohlsson, A"
"Head, K; Snidvongs, K; Glew, S; Scadding, G; Schilder, AGM; Philpott, C; Hopkins, C"
"Nurmatov, U; Venderbosch, I; Devereux, G; Simons, FER; Sheikh, A"
"Al Sayyad, JJ; Fedorowicz, Z; Alhashimi, D; Jamal, A"
"Sharif, MO; Catleugh, M; Merry, A; Tickle, M; Dunne, SM; Brunton, P; Aggarwal, VR; Chong, LY"
"Campbell, F; Gibson, PG"
"Sequeira‐Byron, P; Fedorowicz, Z; Carter, B; Nasser, M; Alrowaili, EF"
"Martí‐Carvajal, AJ; Solà, I; González, LE; Leon de Gonzalez, G; Rodriguez‐Malagon, N"
"Gallo, MF; Grimes, DA; Lopez, LM; Schulz, KF"
"Francis, NZ; Southern, KW"
"Jat, KR; Walia, DK; Khairwa, A"
"Pereira‐Cenci, T; Cenci, MS; Fedorowicz, Z; Azevedo, M"
"Wark, P; Gibson, PG; Wilson, A"
"Tiskaya M,Shahid S,Gillam D,Hill R"
"Boyle, RJ; Elremeli, M; Hockenhull, J; Cherry, MG; Bulsara, MK; Daniels, M; Oude Elberink, J"
"Pereira‐Cenci, T; Cenci, MS; Fedorowicz, Z; Azevedo, M"
"Osborn, DA; Sinn, JKH; Jones, LJ"
"Fortescue, R; Kew, KM; Leung, MShiu Tsun"
"Durner J,Schrickel K,Watts DC,Becker M,Draenert ME"
"Sadeghyar A,Watts DC,Schedle A"
