http://www.semanticweb.org/ontologies/2022/titutuli/nivedita/drmo#bibliographyType,http://purl.org/dc/terms/identifier,http://purl.org/dc/terms/creator,http://purl.org/dc/terms/title,http://purl.org/dc/terms/source,http://purl.org/ontology/bibo/volume,http://www.semanticweb.org/ontologies/2022/titutuli/nivedita/drmo#number,http://purl.org/ontology/bibo/pages,http://www.semanticweb.org/ontologies/2022/titutuli/nivedita/drmo#yearPublished,http://purl.org/ontology/bibo/uri,http://purl.org/dc/terms/abstract,http://www.semanticweb.org/ontologies/2022/titutuli/nivedita/drmo#keywords
7,NAUPARIVILLASANTE2023586,"Ñaupari-Villasante, Romina; Matos, Thalita P.; de Albuquerque, Elisa Gomes; Warol, Flavio; Tardem, Chane; Calazans, Fernanda Signorelli; Poubel, Luiz Augusto; Reis, Alessandra; Barceleiro, Marcos Oliveira; Loguercio, Alessandro D.",Five-year clinical evaluation of universal adhesive applied following different bonding techniques: A randomized multicenter clinical trial,Dental Materials,39,6,586-594,2023,https://www.sciencedirect.com/science/article/pii/S0109564123001070,"Objectives To evaluate the clinical performance of a universal adhesive system (Futurabond U, Voco) when applied following different adhesive strategies in non-carious cervical lesions (NCCLs) after 5 years. Methods Fifty participants were included. Futurabond U (Voco) was applied in NCCLs using four adhesive strategies (n = 50 each): only self-etch (SE); selective enamel etching + self-etch (SET + SE); etch-and-rinse with dry dentin (ERD); and etch-and-rinse with wet dentin (ERW). All cavities were restored with Admira Fusion composite resin (Voco). Restorations were evaluated after 1, 3, and 5 years using the World Federation criteria (FDI) and the modified United States Public Health Service (USPHS) criteria. Results After 5 years, retention rates were 81 % (65.8–90.5) for SE, 87 % (73.2–94.4) for SET + SE, 84 % (69.6–92.6) for ERD, and 78 % (63.6–88.9) for ERW (p > 0.05). Thirty-five restorations were considered to have minor discrepancies in marginal adaptation at the 5-year recall (14 for SE, 9 for SET + SE, 6 for ERD, and 6 for ERW; p > 0.05). Sixteen restorations were detected as a minor marginal discoloration (6 for SE, 4 for SET + SE, 1 for ERD, and 5 for ERW; p > 0.05) and one restoration showed a recurrence of caries (1 for ERW; p > 0.05) at the 5-year recall. No restorations showed postoperative sensitivity after 5 years. Significance NCCLs restorations using a universal adhesive showed satisfactory clinical performance after 5 years, regardless of the adhesive strategy.","Clinical trial, Dental bonding, Dentin-bonding agents, Non-carious cervical lesions, Clinical longevity"
7,ALGHAULI2023634,"Alghauli, Mohammed Ahmed; Wille, Sebastian; Lehmann, Frank; Kern, Matthias",Survival and debonding resistance of posterior cantilever resin-bonded fixed dental prostheses for moderately and severely worn dentition during thermomechanical loading,Dental Materials,39,7,634-639,2023,https://www.sciencedirect.com/science/article/pii/S0109564123001112,"Objectives The purpose of this study was to investigate the survival rate, the debonding resistance, and the failure modes of different occlusal veneer designs when used as a retainer for posterior cantilever, resin-bonded fixed dental prostheses (RBFDPs) at two tooth wear levels. Methods Four test groups were assigned: two groups with occlusal-proximal preparation (PT1 and PT2 for grade 2 and 3 wear), and two groups for occlusal-proximal and lingual preparation (PLT1 and PLT2 for grade 2 and 3 wear) Monolithic zirconia ceramic (3Y-TZP) RBFDPs were luted with an adhesive bonding system (Panavia V5). The specimens underwent a chewing simulation for 1.200.000 cycles with a load of 5 kg and thermocycling for 7500 cycles between 5 °C and 55 °C. The surviving restorations were debonded under quasi-static conditions. The results were analyzed with ANOVA. Results The specimens exhibited a 100 % survival rate after thermomechanical fatigue loading. The debonding resistance was statistically significant higher for group PLT1 than for group PT1 (P = 0.004), and higher for group PT2 than group PT1 (P ≤ 0.001). However, the debonding resistance showed no statistically significant difference between groups PT2 and PLT2 (P = 0.343), and groups PLT1 and PLT2 (P = 0.222). Groups PT1 and PT2 showed favorable failure modes in 62.5 % and 0.00 % of the specimens, respectively. While groups PLT1 and PLT2 presented 25 % favorable failure modes. Significance Occlusal veneers showed promising results as a retainer for cantilever RBFDPs. The lingual extension might increase debonding resistance. Nevertheless, conservative designs with lingual and proximal bevels are to be recommended, irrespective of the level of tooth wear.","Resin-bonded fixed dental prostheses, Cantilever RBFDPs, Occlusal veneer, Debonding resistance, Tooth wear, Worn dentition, Zirconia"
7,ALANIA2022421,"Alania, Yvette; Yourdkhani, Mostafa; Trevelin, Livia; Bim-Junior, Odair; Majithia, Heer; Farsi, Ladan; Bedran-Russo, Ana K.",Proanthocyanidin encapsulation for sustained bioactivity in dentin bioadhesion: A two-year study,Dental Materials,38,2,421-430,2022,https://www.sciencedirect.com/science/article/pii/S0109564121003596,"Objectives To determine the long-term effect on the stability of dentin-resin interfaces after the addition of polylactide (PLA) capsules containing proanthocyanidin (PAC) to adhesive resin. Methods Sub-micron (SM) and micron (M) size capsules containing PACs were produced using a combination of emulsification and solvent evaporation techniques and characterized. Human dentin surfaces (n = 8) were etched (35% glycolic acid) and primed (15% enriched Vitis vinifera extract solution - VVe), followed by the application of an experimental adhesive containing 0 (control), 1.5 wt% of SM or M PAC-filled PLA capsules light cured for 40 s. A crown was built using commercial composite. After 24 h-immersion (37 °C) in simulated body fluid, specimens were serially sectioned into resin-dentin beams. Microtensile bond strength (TBS), micro-permeability and fracture pattern were assessed immediately and after 1 and 2 years. Data were statistically analyzed using two-way ANOVA and post-hoc test (α = 0.05). Results Polydisperse capsules were manufactured with average diameter of 0.36 µm and 1.08 µm for SM and M, respectively. The addition of capsules did not affect TBS (p = 0.889). After 2 years, TBS significantly decreased in SM (p = 0.006), whereas M showed similar initial values (p = 0.291). Overall, less micro-permeability was found in M than the control and SM group (p < 0.001). After 2 years, fractured surfaces from capsule-containing groups failed within the adhesive layer while control fractured at the bottom of the hybrid layer. Significance The addition of PAC-filled PLA microcapsules in a dental adhesive did not affect the bond strength while increased and sustained the protection against micro-permeability in the interface, likely due to release of PACs.","Proanthocyanidins, Bond strength, Polylactide capsules, Bioactive release, Sustained release"
7,BERGAMO2021e443,"Bergamo, Edmara T. P.; Bastos, Tiago M. C.; Lopes, Adolfo C. O.; de Araujo Júnior, Everardo N. S.; Coelho, Paulo G.; Benalcazar Jalkh, Ernesto B.; Zahoui, Abbas; Bonfante, Estevam A.",Physicochemical and mechanical characterization of a fiber-reinforced composite used as frameworks of implant-supported prostheses,Dental Materials,37,8,e443-e453,2021,https://www.sciencedirect.com/science/article/pii/S0109564121001172,"Objectives To characterize the physicochemical and mechanical properties of a milled fiber-reinforced composite (FRC) for implant-supported fixed dental prostheses (FDPs). Methods For FRC characterization, scanning electron microscopy (SEM), energy dispersive spectroscopy (EDS), X-ray diffraction, Fourier-transformed infrared spectrometry, simultaneous thermogravimetric analysis and differential scanning calorimetry were performed. For fatigue testing, 3-unit FRC frameworks were fabricated with conventional (9 mm2 connector area) and modified designs (12 mm2 connector area and 2.5 mm-height lingual extension). A hybrid resin composite was veneered onto the frameworks. FDPs were subjected to step-stress accelerated-life fatigue testing until fracture or suspension. Use level probability Weibull curves at 300 N were plotted and the reliability for 100,000 cycles at 300, 600 and 800 N was calculated. Fractographic analysis was performed by stereomicroscope and SEM. Results The FRC consisted of an epoxy resin (∼25%) matrix reinforced with inorganic particles and glass fibers (∼75%). Multi-layer continuous regular-geometry fibers were densely arranged in a parallel and bidirectional fashion in the resin matrix. Fatigue analysis demonstrated high probability of survival (99%) for FDPs at 300 N, irrespective of framework design. Conventional FDPs showed a progressive decrease in the reliability at 600 (84%) and 800 N (19%), whereas modified FDPs reliability significantly reduced only at 800 N (75%). The chief failure modes for FRC FDPs were cohesive fracture of the veneering composite on lower loads and adhesive fracture of the veneering composite at higher loads. Significance Milled epoxy resin matrix reinforced with glass fibers composite resulted in high probability of survival in the implant-supported prosthesis scenario.","Dental materials, Dental prosthesis, Dental implants"
7,KIM20211865,"Kim, Kangmin; Mascarenas, Alexis; Musgrave, Charles B.; Stansbury, Jeffrey W.",Relocation and reinforcement of the adhesive/composite interface with spontaneous amine-peroxide interfacial polymerization,Dental Materials,37,12,1865-1872,2021,https://www.sciencedirect.com/science/article/pii/S0109564121002785,"Objectives This study demonstrates a spontaneous redox polymerization process located at the adhesive-composite interface that precedes photocure of the composite with the intent to improve bonding. Methods An aromatic amine and benzoyl peroxide redox initiator system was partitioned between BAPO-photoinitiated BisGMA/HEMA adhesive and BisGMA/TEGDMA resin-composites. The composite was placed on the photocured adhesive layer with a brief delay before photopolymerization of the composite layer. Micro-tensile bond strength between the adhesive and composite was assessed in comparison with the non-redox active control materials. Results The presence of amine or peroxide in these resins without the redox initiation contribution enhanced both the rate and the final conversion of the BAPO-based photopolymerizations. Control formulations using redox-only initiation showed active polymer formation starting at approximately 30 s when physical mixing of the redox components was involved; however, simply by waiting 60 s between composite placement and photocure provided adequate time for passive interfacial diffusion of benzoyl peroxide from the pre-cured adhesive into the overlaid aromatic amine-containing composite such that a sufficient degree of redox initiated interfacial polymerization occurred prior to the composite photocure. The result was a significant increase in the adhesive to composite micro-tensile bond strength with the failure site moved away from the mainly interfacial failure noted for the control. Significance The stress-free autonomous pre-conversion of a redox-initiated thin film of composite that then provides a compositionally homogeneous interface for composite photopolymerization offers a means to enhance at least short-term bond strength between the adhesive and composite phases during restorative placement.","Dental materials, Composite restorative resin, Adhesives, Dentin bonding, Amine-peroxide redox polymerization, Interfacial polymerization"
7,ROCHA2022e43,"Rocha, Mateus Garcia; de Oliveira, Dayane Carvalho Ramos Salles; de Menezes, Livia Rodrigues; Roulet, Jean-François; Sinhoreti, Mário Alexandre Coelho; Correr, Américo Bortolazzo",The use of an elastomeric methacrylate monomer (Exothane 24) to reduce the polymerization shrinkage stress and improve the two-body wear resistance of bulk fill composites,Dental Materials,38,2,e43-e57,2022,https://www.sciencedirect.com/science/article/pii/S0109564121003511,"Objectives Characterize the chemical structure of an elastomeric monomer (Exothane 24) and evaluate the degree of conversion (DC), polymerization shrinkage stress (PSS), rate of polymerization (Rp), flexural strength (FStrenght), flexural modulus (FModulus), Vickers hardness (VHardness) and two-body wear resistance of dental bulk fill composites (BFCs) containing Exothane 24. Methods The Exothane 24 was characterized using mass spectroscopy, elemental analysis, 13C- and 1H NMR. BFCs were formulated containing Exothane 24 (E10, E25, and E50). Similar BFCs containing regular UDMA (U10, U25, and U50), commercial conventional, and BFCs were used as control groups. ATR-FTIR spectroscopy was used to measure DC and the Rp of the composites. The PSS was measured using the universal testing machine method. Specimen bars were used to assess the FStrenght, FModulus, and VHardness. RBCs were submitted to a two-body wear test using a chewing simulator machine; the rate and volumetric wear loss were evaluated using an optical scanner. Data were analyzed statistically with α = 0.05 and β = 0.2. Results Exothane 24 is a urethane isophorone tetramethyl methacrylate monomer with polymerization stress-relieving properties. No differences were found in the DC up to 4 mm in depth for E25. All BFCs had similar FStrenght, except for E50. E25 had the lowest volumetric wear loss and wear rate. E25 had approximately 30% lower PSS and slower Rp than commercial BFCs with similar wear resistance to conventional commercial composites. Significance The Exothane 24 reduced the PSS and increased the wear resistance of BFCs; however, the formulation is important to optimize the properties of the BFCs.","Bulk fill composites, Mechanical properties, Hardness, Flexural strength, Polymerization shrinkage stress, Polymerization kinetics, depth of cure, degree of conversion, Resin-based composites, Wear resistance"
7,ALDHAFYAN2022978,"Aldhafyan, Mohammed; Silikas, Nikolaos; Watts, David C.","Influence of curing modes on monomer elution, sorption and solubility of dual-cure resin-cements",Dental Materials,38,6,978-988,2022,https://www.sciencedirect.com/science/article/pii/S0109564122000690,"Objective To explore the effect of two curing modes, for dual-cure resin cements, on their monomer elution, water sorption and solubility after 30 d water storage and 30 d dry reconditioning. Methods Eight dual-cure resin-cements were investigated (Bifix SE, Nexus Third Generation, PANAVIA SA, PANAVIA V5, RelyX Ultimate Universal, RelyX Unicem 2, RelyX Universal and SpeedCEM Plus). Six disk-shaped specimens were made per curing mode: light-cure (LC) versus self-cure (SC) to measure amounts of eluted monomers after 30 d of water storage at 37 °C. Ultra-high performance liquid chromatography tandem mass spectrometry (UHPLC MS/MS) was performed to identify and quantify three eluted monomers (Bis-GMA, UDMA and TEGDMA). Water sorption/ solubility specimens were prepared according to ISO 4049. Specimens from each curing mode (LC/SC) were immersed separately in distilled water for 30 d and then reconditioned for 30 d; all at 37 °C. Mass change was measured at different time intervals. Data were analyzed via one-way ANOVA, Tukey post-hoc tests and independent sample t-tests (α = 0.05). Results After 30 d of water storage, the three monomers Bis-GMA, UDMA and TEGDMA were detected in water. All monomers showed a variable extent of elution into water and were significantly higher (p < 0.0001) with SC compared to LC curing modes. BSE had the highest quantity of eluted monomers. After 30 d of water sorption (μg/mm3), all rein-cements showed significantly higher sorption (p < 0.05) of SC compared to LC curing modes except for PV5, RXU and CEM (p > 0.05). After 30 d of water solubility (μg/mm3), all resin-cements showed significantly higher solubility (p < 0.0001) of SC compared to LC curing mode. BSE had the highest water sorption and solubility. The total amounts of eluted monomers correlated positively with solubility: r2 = 0.95 for LC and r2 = 0.93 for SC. Significance Whenever light access is possible, light curing remains beneficial to reduce the extent of resin degradation and related properties of dual-cure resin cements. BSE showed statistically the highest extent of eluted monomers, sorption and solubility.","Dual-cure cements, Curing modes, Monomer, Elution, Liquid chromatography, Mass spectrometry, Sorption, Solubility"
7,CAVALCANTE2021e85,"Cavalcante, Larissa Maria; Ferraz, Lucielle Guimarães; Antunes, Karinne Bueno; Garcia, Isadora Martini; Schneider, Luis Felipe Jochims; Collares, Fabrício Mezzomo",Silane content influences physicochemical properties in nanostructured model composites,Dental Materials,37,2,e85-e93,2021,https://www.sciencedirect.com/science/article/pii/S0109564120302992,"Objective To determine the effect of organosilane content on the physicochemical properties of model composites formulated with nano-sized fillers. Methods Model composites were formulated with dimethacrylate-based monomers, a photoinitiator/co-initiator system and silicon dioxide nano-sized fillers treated with different amounts of 3-methacryloxypropyltrimethoxysilane (MPTS): 1.0 (G1%), 2.0 (G2%), 5.0 (G5%), 7.5 (G7.5%) and 10 (G10%) wt.% relative to SiO2. Non-silanized fillers (G0%) were used in the control group. Degree of conversion (DC) was assessed by Fourier-transformed infrared spectroscopy (ATR-FTIR). Knoop hardness (KHN) and elastic modulus were determined before and after water storage for 4 months. Water sorption (Wsp) and solubility (Wsl) were calculated by successive mass determinations in analytical balance. Surface gloss and roughness were characterized before and after toothbrushing simulation. Results With the exception of those fillers treated with 1% MPTS, DC was not dependent on the silane content. Within the silanized groups, G1% showed the lowest initial and final KHN, without statistical difference from G0%. The elastic modulus was not affected by the silane content, regardless of the storage condition, but those groups formulated with at least 5% silane presented improved values after storage. Silane content did not affect the WSl, but affected Wsp, in which those groups formulated with at least 2 wt.% of MPTS produced a more resistant material than G0%. The use of treated particles with at least 2 wt.% of silane was able to produce materials that did not change their gloss after the brushing process. Additionally, these materials presented lower surface roughness than G0% after the brushing process (p < 0.05). Significance The concentration of MPTS affected the physicochemical properties of nano-filled composites. Therefore, 2 wt.% of silane was the optimized quantity to produce materials resistant to degradation, both in bulk and surface properties.","Silanes, Nanocomposites, Bisphenol a-glycidyl methacrylate, Operative dentistry, Hydrolysis, Polymerization, Toothbrushing"
7,HAYASHI20201615,"Hayashi, Juri; Tagami, Junji; Chan, Daniel; Sadr, Alireza",New bulk-fill composite system with high irradiance light polymerization: Integrity and degree of conversion,Dental Materials,36,12,1615-1623,2020,https://www.sciencedirect.com/science/article/pii/S0109564120302876,"Objective The study used optical coherence tomography (OCT) and micro Raman microscopy (mRM) to investigate internal defect (ID) and degree of conversion (DC) of two bulk-fill composite systems with high-irradiance or conventional light polymerization settings. Methods The ID and DC of the new bulk-fill composites; Tetric PowerFill (PwrPst) and Tetric PowerFlow (PwrFlw) were compared with the predecessor bulk-fill composites; Tetric EvoCeram Bulkfill (EvoPst) and Tetric EvoFlow Bulkfill (EvoFlw), using LED light curing unit in two settings; normal (LED-Nrm: 1000 mW/cm2, 10-s) or PowerCure (LED-Pwr: 3000 mW/cm2, 3-s). ID formation was observed in bonded cylindrical composite cavities (4-mm depth, 3-mm diameter) using Yoshida Dental OCT. From the vertically projected 2D image, ID area percentage (ID-A%) was calculated. DC at the top and bottom and bottom/top DC ratio (DC-R%) of 4-mm thick discs was calculated using mRM. All data were statistically analyzed at significance level of α = 0.05. Results Flowable composites in LED-Pwr showed smaller ID frequencies than other groups (PwrFlw: 0/8, EvoFlw: 2/8) (p < 0.05). Composite type significantly affected ID-A%, DC and DC-R% (p < 0.001), while light settings significantly affected ID-A% but not DC and DC-R% (p > 0.05). In both light settings, EvoPst showed the lowest DC-R% (<80%). Significance Internal defect and degree of conversion of bulk-fill composites were affected by their composition and light settings. There was a tendency for less defects and better polymerization for the flowable bulk-fills. The new flowable bulk-fill composite with 3-seconds high irradiance light curing showed no defect formation.","Polymerization, Dental restoration failure, Optical coherence tomography, Bulk-fill, Shrinkage stress, Gap, Cracks, Interfacial integrity, Kinetics"
7,ALTAIE20201071,"Altaie, Asmaa; Bubb, Nigel; Franklin, Paul; German, Matthew J.; Marie, Ali; Wood, David J.",Development and characterisation of dental composites containing anisotropic fluorapatite bundles and rods,Dental Materials,36,8,1071-1085,2020,https://www.sciencedirect.com/science/article/pii/S0109564120301408,"Objectives To develop dental composites incorporating fluorapatite (FA) crystals as a secondary filler and to characterise degree of conversion, key mechanical properties and fluoride release. Methods FA rod-like crystals and bundles were hydrothermally synthesised and characterised by scanning electron microscopy/energy dispersive X-ray spectroscopy (SEM/EDS), X-ray diffraction (XRD) and 19F MAS-NMR. Composites were formulated containing BisGMA/TEGDMA/BisEMA and barium-aluminium-silicate glass (0FA). FA crystals were incorporated at 10 (10FA), 20 (20FA), 30 (30FA) and 40wt% (40FA) maintaining a filler content of 80wt% (63–67vol%). Degree of conversion (DC), flexural strength (FS), flexural modulus (FM), fracture toughness (K1C), Vickers hardness (HV) and 2-body wear were measured. Fluoride release was measured in neutral and acidic buffers. Results XRD and 19F MAS-NMR confirmed that only FA was formed, whilst SEM revealed the presence of single rods and bundles of nano-rods. DC ranged between 56–60% (p>0.05). FA composites showed lower FM and lower FS (p<0.05), but comparable wear resistance and HV (p>0.05) to 0FA. 30FA and 40FA showed similar K1C to 0FA (p>0.05), with SEM showing evidence of toughening mechanisms, whereas 10FA and 20FA showed lower K1C (p<0.05). FA containing composites released fluoride that was proportional to the amount of FA incorporated (p<0.05) but only under acidic conditions. Significance The addition of FA to the experimental composites reduced strength and stiffness but not the DC, hardness or wear rate. 30FA and 40FA had a higher K1C compared to other FA groups. Fluoride release occurred under an accelerated acidic regime, suggesting potential as a bioactive ‘smart’ composite.","resin composites, fluorapatite, strength, fracture toughness, fluoride release"
